Mike Fisher;F1;
Patric Hornqvist;F2;
Derek Stepan;F2;green
Ryan Callahan;F3;
Brad Richards;F1;
Carl Hagelin;F4;orange
Pavel Datsyuk;F1;
Henrik Zetterberg;F2;
Johan Franzen;F3;
Daniel Alfredsson;F4;
Thomas Vanek;F1;
Cody Hodgson;F3;green
Tyler Ennis;F2;green
Steve Ott;F4;
Kyle Turris;F4;
Bobby Ryan;F1;
Cory Conacher;D3;green
Milan Michalek;F3;
Jason Spezza;F2;
Logan Couture;F1;red
Patrick Marleau;F3;
Joe Pavelski;F2;green
Joe Thornton;F4;
Tyler Seguin;F1;
Jamie Benn;F2;
Ray Whitney;F3;
Zach Parise;F1;
Mikko Koivu;F2;
Dany Heatley;F4;
Kyle Brodziak;F3;
